name,group,NES,FDR_raw,rank,FDR
KEGG_ECM_RECEPTOR_INTERACTION,Subpallial1,0.951896349,0.0005,1,0.01
KEGG_ECM_RECEPTOR_INTERACTION,Subpallial2,0.917209347,0.0015,2,0.01
REACTOME_ECM_PROTEOGLYCANS,Subpallial1,1,0.0002,3,0.01
REACTOME_ECM_PROTEOGLYCANS,Subpallial2,0.973711933,0.0001,4,0.001
HALLMARK_INFLAMMATORY_RESPONSE,Subpallial1,0.977290931,0.0002,5,0.01
HALLMARK_INFLAMMATORY_RESPONSE,Subpallial2,0.900306455,0.0028,6,0.01
GO_POSITIVE_REGULATION_OF_CELL_KILLING,Subpallial1,0.467985866,0.5649,7,0.1
GO_POSITIVE_REGULATION_OF_CELL_KILLING,Subpallial2,0.878663091,0.0053,8,0.01
GO_DETECTION_OF_BIOTIC_STIMULUS,Subpallial1,0.515382803,0.4043,9,0.1
GO_DETECTION_OF_BIOTIC_STIMULUS,Subpallial2,0.774755794,0.0442,10,0.05
GO_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS,Subpallial1,0.583886926,0.236,11,0.1
GO_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS,Subpallial2,0.805497031,0.0267,12,0.05
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,Subpallial1,0.807585395,0.0163,13,0.05
GO_EXTRACELLULAR_MATRIX_DISASSEMBLY,Subpallial2,0.99176403,0,14,0.001
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,Subpallial1,0.950671378,0.0005,15,0.01
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,Subpallial2,0.971365639,0.0001,16,0.001
GO_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,Subpallial1,0.775830389,0.0286,17,0.05
GO_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,Subpallial2,0.936362766,0.0005,18,0.01
GO_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,Subpallial1,0.848103651,0.0069,19,0.01
GO_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION,Subpallial2,0.935979697,0.0005,20,0.01
REACTOME_NCAM1_INTERACTIONS,Subpallial1,0.800188457,0.0188,21,0.05
REACTOME_NCAM1_INTERACTIONS,Subpallial2,0.922045585,0.0012,22,0.01
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,Subpallial1,0.802167256,0.0183,23,0.05
GO_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES,Subpallial2,0.878327907,0.0053,24,0.01
GO_NEGATIVE_REGULATION_OF_TISSUE_REMODELING,Subpallial1,0.812202591,0.0148,25,0.05
GO_NEGATIVE_REGULATION_OF_TISSUE_REMODELING,Subpallial2,0.862478452,0.0075,26,0.01
GO_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS,Subpallial1,0.84442874,0.0074,27,0.01
GO_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS,Subpallial2,0.882685309,0.0046,28,0.01
GO_CILIUM_MOVEMENT,Subpallial1,0.794723204,0.0204,29,0.05
GO_CILIUM_MOVEMENT,Subpallial2,1,0,30,0.001
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Subpallial1,0.84376914,0.0075,31,0.01
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Subpallial2,0.836717104,0.0146,32,0.05
GO_FATTY_ACID_METABOLIC_PROCESS,Subpallial1,0.880565371,0.0032,33,0.01
GO_FATTY_ACID_METABOLIC_PROCESS,Subpallial2,0.890059376,0.0039,34,0.01
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,Subpallial1,0.840895171,0.0083,35,0.01
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,Subpallial2,0.92980272,0.0011,36,0.01
GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,Subpallial1,0.77573616,0.0286,37,0.05
GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS,Subpallial2,0.805736449,0.0267,38,0.05
GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,Subpallial1,0.801036514,0.0187,39,0.05
GO_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,Subpallial2,0.887713082,0.0042,40,0.01
GO_SYNAPTIC_TRANSMISSION_CHOLINERGIC,Subpallial1,0.788928151,0.0222,41,0.05
GO_SYNAPTIC_TRANSMISSION_CHOLINERGIC,Subpallial2,0.815169508,0.0219,42,0.05
GO_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,Subpallial1,0.795995289,0.0199,43,0.05
GO_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,Subpallial2,0.796207623,0.0312,44,0.05
GO_VASCULOGENESIS,Subpallial1,0.765088339,0.034,45,0.05
GO_VASCULOGENESIS,Subpallial2,0.773702356,0.0448,46,0.05
HALLMARK_TGF_BETA_SIGNALING,Subpallial1,0.757078916,0.0378,47,0.05
HALLMARK_TGF_BETA_SIGNALING,Subpallial2,0.489705037,0.5409,48,0.1
